customer_id,customer_name,industry,region,acquisition_date,status,annual_contract_value
CUST-001,Apex Manufacturing,Healthcare,South,2019-01-15,Active,100000
CUST-002,BlueStar Energy,Mining,West,2019-01-27,Churned,50000
CUST-003,Canyon Construction,Healthcare,West,2019-02-08,Active,100000
CUST-004,Delta Healthcare,Mining,West,2019-02-20,Churned,200000
CUST-005,Eagle Transport,Healthcare,South,2019-03-04,Churned,500000
CUST-006,Frontier Chemical,Transportation,South,2019-03-16,Active,300000
CUST-007,Gateway Mining,Food Processing,South,2019-03-28,Active,100000
CUST-008,Harbor Foods,Mining,Midwest,2019-04-09,Active,50000
CUST-009,Ironclad Industries,Construction,South,2019-04-21,Active,200000
CUST-010,Jetstream Logistics,Chemical,South,2019-05-03,Churned,75000
CUST-011,Keystone Materials,Manufacturing,South,2019-05-15,Active,500000
CUST-012,Lakeview Medical,Healthcare,Midwest,2019-05-27,Active,500000
CUST-013,Meridian Power,Energy,South,2019-06-08,Churned,300000
CUST-014,Northwind Construction,Food Processing,West,2019-06-20,Active,500000
CUST-015,Oakridge Chemical,Healthcare,South,2019-07-02,Active,100000
CUST-016,Pacific Transport,Energy,West,2019-07-14,Active,50000
CUST-017,Quantum Manufacturing,Chemical,West,2019-07-26,Active,500000
CUST-018,Redwood Energy,Chemical,West,2019-08-07,Churned,500000
CUST-019,Summit Construction,Chemical,Midwest,2019-08-19,Active,75000
CUST-020,Titan Healthcare,Energy,Midwest,2019-08-31,Active,75000
CUST-021,United Chemical,Healthcare,Midwest,2019-09-12,Active,150000
CUST-022,Vanguard Mining,Chemical,South,2019-09-24,Churned,200000
CUST-023,Westfield Foods,Transportation,West,2019-10-06,Active,100000
CUST-024,Xenon Industries,Mining,Midwest,2019-10-18,Active,500000
CUST-025,Yellowstone Energy,Energy,Midwest,2019-10-30,Active,500000
CUST-026,Zenith Manufacturing,Energy,South,2019-11-11,Active,50000
CUST-027,Atlas Construction,Healthcare,Midwest,2019-11-23,Active,150000
CUST-028,Beacon Medical,Energy,South,2019-12-05,Active,200000
CUST-029,Cascade Power,Energy,Northeast,2019-12-17,Active,150000
CUST-030,Dominion Transport,Chemical,Midwest,2019-12-29,Active,300000
CUST-031,Evergreen Chemical,Healthcare,Northeast,2020-01-10,Active,200000
CUST-032,Falcon Mining,Chemical,South,2020-01-22,Active,500000
CUST-033,Granite Industries,Mining,West,2020-02-03,Active,500000
CUST-034,Highland Energy,Food Processing,Midwest,2020-02-15,Active,200000
CUST-035,Imperial Manufacturing,Mining,South,2020-02-27,Active,500000
CUST-036,Jupiter Foods,Food Processing,West,2020-03-10,Churned,100000
CUST-037,Keller Construction,Chemical,West,2020-03-22,Active,200000
CUST-038,Liberty Healthcare,Mining,Northeast,2020-04-03,Churned,150000
CUST-039,Maverick Chemical,Healthcare,South,2020-04-15,Active,200000
CUST-040,Noble Transport,Manufacturing,West,2020-04-27,Active,500000
CUST-041,Olympus Mining,Chemical,Midwest,2020-05-09,Active,100000
CUST-042,Pinnacle Energy,Food Processing,Midwest,2020-05-21,Active,100000
CUST-043,Quest Manufacturing,Transportation,Northeast,2020-06-02,Active,300000
CUST-044,Ridgeline Construction,Food Processing,West,2020-06-14,Active,150000
CUST-045,Silverstone Medical,Transportation,South,2020-06-26,Active,75000
CUST-046,Trident Industries,Energy,Midwest,2020-07-08,Churned,75000
CUST-047,Upland Chemical,Mining,West,2020-07-20,Churned,200000
CUST-048,Vertex Energy,Transportation,West,2020-08-01,Churned,300000
CUST-049,Windward Foods,Food Processing,Northeast,2020-08-13,Churned,50000
CUST-050,Zephyr Transport,Energy,Midwest,2020-08-25,Churned,200000
